"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"390",1,2016,11,4,3006,16,480507035,47,60,144,57,47,84,1,1,52,4
"284",1,2014,6,5,6339,13,466231982,3,1,105,56,57,87,0,1,10,4
"161",2,2023,1,23,961,26,436027885,19,143,138,78,89,83,10,0,12,5
"109",1,2021,3,11,4198,44,838079900,98,108,114,77,65,72,2,0,7,5
"238",1,2022,10,21,3763,8,488386797,51,43,97,73,10,44,26,0,16,8
"386",2,2023,1,13,415,2,152850295,15,40,100,79,60,68,7,0,26,4
"268",1,2023,4,24,271,12,91221625,16,103,137,77,35,88,16,0,17,9
"162",1,2004,7,13,6457,18,657723613,98,95,96,86,74,80,33,0,8,6
"391",2,2019,4,12,4260,0,1065580332,113,92,120,65,80,86,9,0,19,10
"374",1,2023,3,3,203,0,34450974,5,9,148,53,61,81,5,0,36,4
"306",1,2023,3,25,660,0,52722996,22,7,106,73,22,86,31,0,12,4
"236",1,2023,4,7,2066,6,175097833,58,70,142,82,54,44,6,0,33,7
"264",1,2023,2,24,526,10,139681964,15,93,120,77,94,66,65,0,38,3
"449",1,1959,11,16,6512,0,446390129,88,1,134,45,72,24,91,0,18,4
"429",2,2022,9,28,1612,0,213438580,34,54,140,58,17,62,18,0,20,8
"309",1,2022,5,20,7461,8,743693613,166,42,115,71,90,73,30,0,11,5
